Fixed-Rate,Flex-Rate,Shannon-Rate
21.40786934360036,21.47465476916171,21.431836453184125
21.4517681723888,21.472227796430168,21.486096286149095
21.35695802037076,21.29596786718076,21.473597793719108
21.20082883990013,21.327938439100315,21.481891445450085
21.108246058704086,21.354356939729477,21.215412102223983
21.125257062408377,21.37459873803311,21.18702728089073
21.10512652184177,21.30549951187898,21.43236301000604
21.08189313630365,21.27099279360409,21.442731068994572
21.24159372562325,21.116045959680097,21.448920243404455
21.05164871702308,21.22930375303669,21.28202907411023
